ticker,1w_return_pct,1m_return_pct,3m_return_pct,6m_return_pct
ADM,5.5714,-6.6477,-0.5551,23.4517
CSGP,-0.5875,-9.6702,-24.8623,-9.6336
TSCO,-3.5792,-3.1250,-13.8160,7.7569
TEVA,1.1129,27.0326,39.6925,48.2175
IBKR,-11.2554,-4.6897,1.2731,23.3523
HUM,-1.9545,-14.9995,-18.6207,-4.2013
ROL,-0.6660,4.5364,0.7114,2.6611
MCHP,-6.9663,-20.8628,-19.7847,-11.7148
MTB,-3.8831,0.1494,-4.2362,2.0580
EXE,1.9800,16.1973,25.8502,3.6611
ES,1.9032,1.8330,13.7268,16.8385
PHG,-1.0135,-1.9506,1.4280,19.3500
HPE,-12.5419,-9.0375,-1.6150,20.5756
BRO,2.5220,-8.2488,-16.7439,-27.2129
PPL,0.2036,-1.4022,1.2775,8.3219
FOX,-3.6969,11.4473,9.2119,14.3021
PSTG,-10.2844,-9.6788,44.9843,49.7473
EME,-7.1427,-11.5470,0.4243,31.5199
MDB,-10.5138,5.0388,53.0488,80.8443
FITB,-4.7531,0.4647,-3.1655,11.2474
ODFL,-5.9016,-6.0924,-16.1030,-20.7650
FSLR,-7.2880,9.0231,19.8189,54.7224
CBOE,-0.5094,7.5954,4.7495,13.2790
FE,0.6178,-0.2135,7.9450,12.0293
CIEN,-9.0927,11.0032,113.7659,137.4374
AXIA,2.4875,13.6938,50.8918,57.1099
IRM,-12.6698,-14.5487,-1.5984,-5.5368
BR,0.9164,-1.6529,-14.0095,-5.0925
FTS,1.1481,0.5027,3.4634,8.9131
CNP,1.3424,0.9334,5.3126,8.1138
TER,-9.7077,20.3025,50.4043,110.9780
SHG,-2.7432,1.5467,10.2405,38.2256
MKL,-0.5785,8.2722,4.7595,9.8662
TW,-0.2466,2.1698,-14.5865,-24.7181
AWK,3.2882,-7.3919,-8.2847,-6.6478
CQP,2.2644,6.3830,1.0018,-4.5363
VIK,-3.8404,-5.6287,-3.1746,33.1012
STE,-2.1817,7.5101,4.5646,5.3596
SYF,-6.0107,-1.4144,-1.5246,23.6989
CINF,-2.9945,5.4876,6.5244,11.4514
AVB,0.5035,-5.0155,-6.3668,-10.3753
GIS,1.7741,-2.7898,-4.5674,-9.6613
EFX,-2.2747,-10.0657,-18.1765,-20.7512
DOV,-0.6755,8.6246,0.9289,1.6660
BNTX,-2.1224,-2.1876,-7.6840,3.7844
BE,-24.8581,-6.1704,142.7378,474.5195
CRDO,-16.1495,-0.6476,34.2239,136.0298
ZM,-1.6354,2.2372,13.3121,-0.5713
FWONA,-3.3665,-1.9980,-1.4462,-0.4461
TEF,5.0368,-17.5865,-23.8810,-13.6650
CYBR,-5.8717,-1.7476,11.7891,36.2358
VLTO,-0.3562,-4.7197,-9.3315,-2.3590
LDOS,-3.8300,2.6123,6.1557,19.7011
BIIB,5.3027,15.0671,18.4978,29.7477
HBAN,-3.2258,-1.2903,-7.1163,1.7703
